index,name,shelf,room,no,inventory,img,ref_video,text
31,비커 500ml,up,화학실,7,3,https://cafe24.poxo.com/ec01/hift/HOvhRhvOk+Cp2KY4JuusAoN2EteFYEcGPx1wX2XwdhYGcWpfDfm5aO5TuP9FLori9v9XBUSyqeDWti4e5nQZKQ==/_/web/product/big/201811/1b510e4da74a54213e9eb95e45ef1cde.jpg,https://www.youtube.com/watch?v=08Srw0_IY88,비커는 액체를 측정하고 혼합하는 데 사용하는 원통형의 유리 또는 플라스틱 용기이다. 일반적으로 넓은 입구와 눈금이 있어 부피를 쉽게 확인할 수 있다.
32,뷰렛,up,화학실,8,11,https://lh3.googleusercontent.com/proxy/jfLHctJ24Im98NQnwSX4AY3QrQUE0xG2DotX777zjVrTrwmhqzCzPL48ZmNA6Tubm0rhyfc_kmoCXz-k_hdVvB9GM0kwW13RimkKfoaHy6XDNoOkwfpXSX7a6oinxeo3S9lR-uqDzmr5IX_9xQ,https://www.youtube.com/watch?v=iV9DIdclLwo&list=PLky2LzqjvpU2QuJcAl0a5khJPPwaXMrBI&index=2,"뷰렛은 액체를 정확하게 측정하고 방출하는 데 사용되는 긴 관 형태의 유리 기구로, 주로 적정 실험에서 사용된다. 콕을 열고 닫으면서 내부의 액체를 조금씩 떨어뜨려 사용한다."
33,피펫 1ml,up,화학실,8,7,https://m.bnfkorea.net/web/product/big/202207/69b8601c3f75ff41bdc6b9bf12c6a730.jpg,https://www.youtube.com/watch?v=t159gZLzc34&list=PLky2LzqjvpU2QuJcAl0a5khJPPwaXMrBI&index=3,피펫은 액체를 정확하게 흡입하고 이동시키는데 사용되는 유리 또는 플라스틱 기구이다.
34,피펫 2ml,up,화학실,8,5,https://m.bnfkorea.net/web/product/big/202207/69b8601c3f75ff41bdc6b9bf12c6a730.jpg,https://www.youtube.com/watch?v=t159gZLzc34&list=PLky2LzqjvpU2QuJcAl0a5khJPPwaXMrBI&index=3,피펫은 액체를 정확하게 흡입하고 이동시키는데 사용되는 유리 또는 플라스틱 기구이다.
35,피펫 5ml,up,화학실,8,4,https://m.bnfkorea.net/web/product/big/202207/69b8601c3f75ff41bdc6b9bf12c6a730.jpg,https://www.youtube.com/watch?v=t159gZLzc34&list=PLky2LzqjvpU2QuJcAl0a5khJPPwaXMrBI&index=3,피펫은 액체를 정확하게 흡입하고 이동시키는데 사용되는 유리 또는 플라스틱 기구이다.
36,피펫 10ml,up,화학실,8,16,https://m.bnfkorea.net/web/product/big/202207/69b8601c3f75ff41bdc6b9bf12c6a730.jpg,https://www.youtube.com/watch?v=t159gZLzc34&list=PLky2LzqjvpU2QuJcAl0a5khJPPwaXMrBI&index=3,피펫은 액체를 정확하게 흡입하고 이동시키는데 사용되는 유리 또는 플라스틱 기구이다.
37,스포이트 5ml,up,화학실,8,12,https://m.whatsoap.co.kr/web/product/extra/big/20210208/b9113ca14b6a87d48115843044e7072b.jpg,https://www.youtube.com/watch?v=dxsa2j1o2F4&list=PLky2LzqjvpU2QuJcAl0a5khJPPwaXMrBI&index=5,"스포이트는 액체를 흡입하고 방출하는 데 사용되는 고무 또는 플라스틱 기구로, 주로 작은 양의 액체를 정밀하게 다루는 데 사용된다."
38,스포이트 10ml,up,화학실,8,18,https://m.whatsoap.co.kr/web/product/extra/big/20210208/b9113ca14b6a87d48115843044e7072b.jpg,https://www.youtube.com/watch?v=dxsa2j1o2F4&list=PLky2LzqjvpU2QuJcAl0a5khJPPwaXMrBI&index=5,"스포이트는 액체를 흡입하고 방출하는 데 사용되는 고무 또는 플라스틱 기구로, 주로 작은 양의 액체를 정밀하게 다루는 데 사용된다."
39,피펫 필러(펌프),up,화학실,8,26,https://www.officeahn.co.kr/shopimages/officeahn/mobile/7/176737_represent?1629437335,https://www.youtube.com/watch?v=t159gZLzc34&list=PLky2LzqjvpU2QuJcAl0a5khJPPwaXMrBI&index=4,"피펫 펌프는 피펫을 사용하여 액체를 쉽게 흡입하고 방출할 수 있도록 도와주는 기구로, 손쉽게 액체의 양을 조절할 수 있게 한다."
40,세척병,up,화학실,9,21,https://images.cacheby.com/product-images/cacheby/f954c9c6-c8ec-11ec-9d64-0242ac120002/S-8969.jpg,https://www.youtube.com/watch?v=z-2wxQsQCVA,세척병은 화학 실험을 할 때에 세척액을 넣어 두는 용기이다. 유연성 플라스틱으로 만들어 한 개의 굽은 관이 있고 용기를 누르면 세척액이 뿜어져 나오게 된다.
41,유리막대,up,화학실,9,20,https://cafe24.poxo.com/ec01/yesoap1214/HOvhRhvOk+Cp2KY4JuusAr1027nPYZEdFVIPMStIyty2o1H2qE/fVnNkWZ0+IkCMjRkLplhHC9tMpdEQ6eCFZg==/_/web/product/big/201803/367_shop1_616219.jpg,https://www.youtube.com/watch?v=ZKB2H15GLjo,유리로 만든 막대로 시약을 혼합할 때 사용한다.
42,약수저,up,화학실,9,13,https://www.imarket.co.kr/goods_image/5/7/0/8/1037955708s.jpg,https://www.youtube.com/watch?v=mghhlU7yDT4,"약수저는 고체 시료를 옮길 때 쓰는 수저로 시약통에서 시험관이나 비커로 옮길 때, 혹은 일정량의 시약을 취하기 위해 사용한다."
43,온도계,up,화학실,9,21,https://i.namu.wiki/i/qg7aIK6a8JmEeaGXMkNy4hWBteyR6a-yO73RXm8LmE6atK7-ZYufSevfVjDIMmU4K1Lg5nJN5LjirRhfjMvkDw.webp,https://www.youtube.com/watch?v=iMqjNouaFxY&list=PLky2LzqjvpU2QuJcAl0a5khJPPwaXMrBI&index=6,"온도계는 온도를 측정하는 기구로, 액체 또는 전자 센서를 이용해 온도를 측정하는 데 사용한다."
44,핀셋,up,화학실,9,53,https://content.misumi-ec.com/image/upload/t_product_main/v1/p/jp/product/series/223000306523/223000306523_001.jpg?$product_main$,https://www.youtube.com/watch?v=V41Id7gShEE,핀셋은 작은 물체를 잡거나 조작하는 데 사용하는 도구로 두 개의 긴팔이 서로 맞물려 있어 정밀한 작업이 가능하다.
45,보안경,up,물리실험실,1,,https://img.danawa.com/prod_img/500000/990/293/img/10293990_1.jpg?_v=20210907110506,https://www.youtube.com/watch?v=Eium8cJji5I,외부의 해로운 환경으로부터 눈을 보호하기 위해 착용하는 안경이다.
46,장갑,up,물리실험실,1,,https://img.danawa.com/prod_img/500000/072/740/img/12740072_1.jpg?_v=20201123105929,https://www.youtube.com/watch?v=Eium8cJji5I,외부의 해로운 환경으로부터 손을 보호하기 위해 착용한다.
47,마스크,up,물리실험실,1,,https://img.daihan-sci.com/sellerzone/00283/product/img/250/1_-8272233515775767155.jpg,https://www.youtube.com/watch?v=aTicerr0l9I,외부의 해로운 환경으로부터 호흡기를 보호하기 위해 착용한다.
48,평면 거울,up,물리실험실,3,6,https://cafe24.poxo.com/ec01/he201820/HOvhRhvOk+Cp2KY4JuusAjlMOEtjc5iq9hbF1jVsI4i4c1HRH2R0N1Y2D2oUph8wRO0XgG+DjO5jhi4yYCXKnA==/_/web/product/big/201810/491b962c5c864e346f0cfc1bae0e0f35.jpg,https://www.youtube.com/watch?v=Psz2Pgb1LW8,평평한 표면을 가진 거울로 물체의 이미지를 반사해 실제 크기와 방향을 보여주는 특징이 있다.
49,"볼록, 오목 겸용거울",up,물리실험실,3,6,https://m.chingchanmall.com/web/product/big/202201/1de30a808dda8a5b1760d6525775bc48.jpg,https://www.youtube.com/watch?v=dfT_LqlD4OA,볼록 오목 겸용 거울은 한쪽 면이 볼록하고 다른 쪽 면이 오목한 거울이다. 두 가지 반사 특성을 동시에 활용할 수 있어 다양한 용도로 사용된다. 볼록면은 넓은 시야를 제공하고 오목면은 물체를 확대해서 보여준다.
50,볼록 렌즈,up,물리실험실,3,12,https://m.bigscience.kr/web/product/big/202008/6e7f10716ea0ac67e15439e17bb0ea2e.jpg,https://www.youtube.com/watch?v=dfT_LqlD4OA,"볼록 렌즈는 중앙이 두껍고 가장자리가 얇은 렌즈로, 빛을 모으는 역할을 하며, 주로 물체를 확대하거나 이미지를 형성하는 데 사용된다."
51,오목 렌즈,up,물리실험실,3,14,https://m.bigscience.kr/web/product/big/202008/6e7f10716ea0ac67e15439e17bb0ea2e.jpg,https://www.youtube.com/watch?v=dfT_LqlD4OA,"오목 렌즈는 중앙이 얇고 가장자리가 두꺼운 렌즈로, 빛을 퍼뜨리는 역할을 하며, 주로 물체를 축소하여 이미지 형성에 사용된다."
52,직각 프리즘,up,물리실험실,3,4,https://rocket1967.cafe24.com/web/product/big/202302/2b0dc2f92ed30104251f98c3a8e474fe.jpg,https://www.youtube.com/watch?v=Y5E9XNTQvmA,직각 프리즘은 두 개의 직각을 이루는 면과 두 개의 평행한 면을 가진 광학 장치로 주로 빛을 반사하거나 굴절시키는 데 사용된다.
53,삼각 프리즘,up,물리실험실,3,6,https://m.korearocket.co.kr/web/product/big/202301/cd29b00dc6e7dcc808575d6e4c665a9a.jpg,https://www.youtube.com/watch?v=Y5E9XNTQvmA,삼각 프리즘은 빛을 분산시켜 다양한 색깔로 나누는 효과를 가진 삼각형 형태의 광학 장치
54,돋보기,up,물리실험실,3,35,https://m.bys2525.co.kr/web/product/big/img01//12/06/12/2403/2403_detail0.jpg,https://www.youtube.com/watch?v=HKWS8_rjl6w,돋보기는 볼록 렌즈를 이용해 물체를 확대하여 자세히 관찰할 수 있게 해주는 간단한 광학 기기이다.
55,AC DC POWER SUPPLY,up,물리실험실,2,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZxylJykWgH38al2muROMx0TZWj8M9by_ImA&s,DC Regulated Power SUPPLY만 존재,"AC DC 전원 공급 장치는 교류(AC) 전원을 직류(DC) 전원으로 변환하여 전자 기기에 필요한 전력을 공급하는 장치이다. 주로 정류기, 필터, 그리고 안정화 회로를 포함하여 안정적인 DC 전압을 제공한다."
56,DC Regulated Power SUPPLY,up,물리실험실,2,4,https://5.imimg.com/data5/WA/TB/EF/SELLER-2451114/dc-regulated-power-supply.jpg,https://www.youtube.com/watch?v=XHP9-5DGpig,"DC 정전압 전원 공급 장치는 일정한 직류 전압을 유지하면서 출력 전압을 조절할 수 있는 장치로, 전자 기기나 실험 장비에 안정적이고 일관된 전력을 제공한다. 주로 전압 조절 회로와 과전류 보호 기능을 포함하여 전압 변동을 최소화한다."
57,다중 섬광 장치,up,물리실험실,2,1,https://hssci.co.kr/web/product/medium/sciencestarshop_14439.jpg,어플만 존재,다중 섬광 장치는 여러 개의 섬광을 동시에 발생시켜 특정한 효과를 내는 장치이다.
58,그네형 전자기력 실험장치(A형),up,물리실험실,2,8,https://cafe24.poxo.com/ec01/instrument8513/qpzoPtAfsyswz+JPAFwof3K42bKXBiJ1Z0HnX/FToLyxHn/wsxnGxU+mOvp2xx4WBbmORmgE3YI9kLzsOlp5dw==/_/web/product/big/202312/6e48a1bd29e13dd03a309d6bef577277.jpg,https://www.youtube.com/watch?v=jMSJlMrwAos,"전자기력의 작용을 연구하기 위해 설계된 장치로, 전류가 흐르는 도선과 자기장 간의 상호작용을 통해 발생하는 힘을 측정한다."
59,이중코일,up,물리실험실,2,10,https://m.korearocket.co.kr/web/product/Images/1/SFSELFAA0001125/big_14404180624bcfd48be9434.jpg,,"두 개의 코일이 서로 상호작용하는 장치로, 전자기 유도 현상을 연구하거나 전류의 변화를 측정하는 데 사용된다."
60,솔레노이드 코일,up,물리실험실,2,1,https://cafe24.poxo.com/ec01/he201820/HOvhRhvOk+Cp2KY4JuusAjlMOEtjc5iq9hbF1jVsI4i4c1HRH2R0N1Y2D2oUph8wRO0XgG+DjO5jhi4yYCXKnA==/_/web/product/big/201801/4965_shop1_756120.jpg,https://www.youtube.com/watch?v=x3zoyRPxNAw,"긴 원통형의 전선으로 감겨진 코일로, 전류가 흐를 때 내부에 균일한 자기장을 생성하며, 전자기 유도 및 전자기력 실험에 주로 사용된다."
61,와전류 실험기(렌츠의 법칙 실험기),up,물리실험실,2,5,https://hssci.co.kr/web/product/medium/sciencestarshop_14583.jpg,https://www.youtube.com/watch?v=0BhhrgJP88g,"도체가 자기장 내에서 움직일 때 발생하는 와전류를 관찰하고 렌츠의 법칙을 이해하기 위한 장치로, 전자기 유도의 원리를 실험적으로 보여준다."
62,직류전류계,up,물리실험실,1,8,https://cafe24.poxo.com/ec01/he201820/HOvhRhvOk+Cp2KY4JuusAjlMOEtjc5iq9hbF1jVsI4i4c1HRH2R0N1Y2D2oUph8wRO0XgG+DjO5jhi4yYCXKnA==/_/web/product/small/202206/053d46bd8346f613888b7e06f9fce297.jpg,https://www.youtube.com/watch?v=rqKlxc7Kb1g,직류 전류의 세기를 측정하는 기기이다.
63,직류전압계,up,물리실험실,1,8,https://m.sangamall.co.kr/web/product/big/202206/80a3df79a92cb0e34c1d3c3375f672af.jpg,https://www.youtube.com/watch?v=rqKlxc7Kb1g," 직류 전압을 측정하는 장치로, 전압의 크기를 직관적으로 보여주며, 전기 회로의 상태를 파악하는 데 유용하다."
64,검류계,up,물리실험실,1,7,https://m.sangamall.co.kr/web/product/big/201904/dd672313ba746ed36ceb20eeba981a2d.jpg,https://www.youtube.com/watch?v=eZmkgs97tCo,"전류의 방향과 세기를 측정하는 기기로, 일반적으로 미세한 전류를 측정하는 데 사용되며, 전기 회로의 상태를 확인하는 데 도움을 준다."
65,마찰전기 실험세트(6종),up,물리실험실,1,7,https://m.kuryong.co.kr/web/product/big/3902.jpg,https://www.youtube.com/watch?v=OahI4G_ZQb0,다양한 재료를 사용해 마찰 전기를 생성하고 관찰할 수 있는 실험 도구 세트이다.
66,나침반,up,물리실험실,1,7,https://m.mgoffice.kr/web/product/big/201909/0ee7601bc77624245a59cbf92ce857fb.jpg,https://www.youtube.com/watch?v=1-rNHFNVcdk,지구 자기장의 방향을 이용해 북쪽을 가리키는 장치이다.
67,니크롬선 저항판(3종),up,물리실험실,1,8,https://koreascience2948.cafe24.com/web/upload/NNEditor/20221017/158.jpg,https://www.youtube.com/watch?v=1lou-3Qn9yk,다양한 저항 값을 가진 니크롬선으로 구성된 판이다.
68,축전기,up,물리실험실,1,7,https://gplab.pusan.ac.kr/sites/gplab/contents/images/2021/09/20210906_180208050_72701.jpeg,https://www.youtube.com/watch?v=oD4R0dG6qoQ,전기를 저장하는 장치이다.
69,OMEGA MAGIC UFO LEVITATION,up,물리실험실,1,7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQslAii0qvLemEylF4YeYlPTjaithRB4l4QRunR598VXKZ_Wu6lkW36zWfI1U-ntp4daxM&usqp=CAU,https://www.youtube.com/watch?v=AUyo0OGJ35U,자기 부상 원리를 이용해 물체를 공중에 띄우는 장치이다.
70,광전류 측정장치,up,물리실험실,4,8,https://jin7879.cafe24.com/web/product/big/jhs(210202)/3390c.jpg,https://www.youtube.com/watch?v=kpj14fhk5ds,광원에서 발생하는 전류를 측정하는 장치이다.
71,빛합성 광원장치,up,물리실험실,4,4,https://jin7879.cafe24.com/web/product/big/jhs(210202)/3455a.jpg,https://www.youtube.com/watch?v=i0lW6h2R-ug,다양한 색상의 빛을 합성하여 특정한 색을 만들어내는 장치이다.
72,시간 기록계,up,물리실험실,4,1,https://ylscience.co.kr/web/product/big/202301/46f047d13855edf4122c959bf26706f5.jpg,https://www.youtube.com/watch?v=Wu7UudR2Yw4,실험이나 사건의 시간을 기록하고 측정하는 장치이다.
